ID,pophost,population,sex,beak,thorax,wing,body,month,year,months_since_month_zero,season,w_morph,lat,long,diapause,field_date_collected,notes,date_measured,date_entered,recorder
276,C.corindum,North Key Largo,M,6.44,3.29,8.69,11.64,October,2019,77,fall,L,25.28636983,-80.29077075,non-diapausing,10.02.2019,wings torn at end,03.23.2020,03.26.2020,AB
278,C.corindum,North Key Largo,M,5.69,2.88,7.83,10.83,October,2019,77,fall,L,25.28636983,-80.29077075,non-diapausing,10.02.2019,,03.23.2020,03.26.2020,AB
279,C.corindum,North Key Largo,M,6.17,3.24,8.40,11.61,October,2019,77,fall,L,25.28636983,-80.29077075,non-diapausing,10.02.2019,,03.23.2020,03.26.2020,AB
280,C.corindum,North Key Largo,M,6.49,3.29,8.87,12.41,October,2019,77,fall,L,25.28636983,-80.29077075,non-diapausing,10.02.2019,,03.24.2020,03.26.2020,AB
282,C.corindum,North Key Largo,M,6.84,3.32,8.23,11.38,October,2019,77,fall,L,25.28636983,-80.29077075,non-diapausing,10.02.2019,wings torn at end,03.24.2020,03.26.2020,AB
283,C.corindum,North Key Largo,F,7.97,3.33,8.09,11.76,October,2019,77,fall,L,25.28636983,-80.29077075,non-diapausing,10.02.2019,wings torn at end,03.24.2020,03.26.2020,AB
284,C.corindum,North Key Largo,M,5.39,2.89,7.61,10.10,October,2019,77,fall,L,25.28636983,-80.29077075,non-diapausing,10.02.2019,wings torn at end,03.24.2020,03.26.2020,AB
285,C.corindum,North Key Largo,F,8.61,3.68,9.53,13.47,October,2019,77,fall,L,25.28636983,-80.29077075,non-diapausing,10.02.2019,,03.24.2020,03.26.2020,AB
286,C.corindum,North Key Largo,M,5.73,2.85,7.25,10.10,October,2019,77,fall,L,25.28636983,-80.29077075,non-diapausing,10.02.2019,,03.24.2020,03.26.2020,AB
287,C.corindum,North Key Largo,M,5.68,2.81,6.28,8.88,October,2019,77,fall,LS,25.28636983,-80.29077075,non-diapausing,10.02.2019,,03.24.2020,03.26.2020,AB
