average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,channel_num,filename,ID
0,0,0,0,0,0,1800,0,2,set22-10-21-19-B2.txt,272
0,0,0,0,0,0,1800,0,2,set16-10-18-19-A2.txt,275
0,0,0,0,0,0,3600,0,1,set46-10-28-19-A1.txt,275
0.12566,0,2.5132,0,0,0,5400,0,3,set61-10-31-19-A3.txt,275
0.444648946,993.2,440.4383,0,993.2,0.551777778,1800,0.523583333,2,set20-10-18-19-B2.txt,276
0.445478695,3574.6,1581.4311,0,3574.6,0.992944444,3600,1.57075,3,set35-10-23-19-B3.txt,276
0.408492091,5351.8,2155.6973,61.5,5290.3,0.991074074,5400,0.483307692,4,set58-10-31-19-A4.txt,276
0,0,0,0,0,0,3600,0,1,set49-10-28-19-A1.txt,278
0,0,0.6283,0,0,0,5400,0,2,set70-11-04-19-B2.txt,278
0.3655921,1305.9,300.3274,107.8,600.9,0.7255,1800,0.523583333,1,set10-10-17-19-A1.txt,279
0.358903781,3595.1,1270.4226,0,3595.1,0.998638889,3600,0.483307692,4,set34-10-23-19-B4.txt,279
0,0,0.6283,0,0,0,3600,0,2,set34-10-23-19-B2.txt,280
0.630793254,2752.3,6.9113,0,2749.3,0.509685185,5400,1.57075,1,set59-10-31-19-B1.txt,280
0,0,0,0,0,0,3600,0,4,set39-10-24-19-A4.txt,282
0.349055556,0,3.1415,0,0,0,5400,0,4,set70-11-04-19-A4.txt,283
0,0,0,0,0,0,1800,0,4,set28-10-21-19-B4.txt,284
0.916270833,2,2.5132,0,2,0.001111111,1800,0.785375,4,set10-10-17-19-A4.txt,285
0.21933646,1724.3,165.2429,0,973,0.957944444,1800,0.330684211,1,set25-10-21-19-A1.txt,286
0.261042438,3570.3,894.6992,209.9,3360.4,0.99175,3600,0.31415,4,set34-10-23-19-A4.txt,286
0,0,0.6283,0,0,0,1800,0,4,set12-10-17-19-A4.txt,287
0.295010822,942.1,13.1943,155.1,783.1,0.523388889,1800,0.571181818,1,set18-10-18-19-B1.txt,288
0.246105339,3594.7,862.0276,0,3594.7,0.998638738,3599.6,0.369588235,4,set47-10-28-19-B4.txt,288
0.315209607,4387.4,1368.4374,103.8,3198.8,0.812481481,5400,0.571181818,4,set65-11-01-19-A4.txt,288
0,0,0,0,0,0,1800,0,2,set18-10-18-19-B2.txt,290
0.205594943,3484.7,686.7319,299.7,3141.4,0.967972222,3600,0.330684211,1,set43-10-25-19-B1.txt,295
0.412347342,4968.5,2018.7279,0,4582.6,0.920092593,5400,0.698111111,1,set58-10-31-19-B1.txt,295
0.185592831,1645.5,4.3981,0,1640.8,0.914166667,1800,0.190393939,1,set5-10-16-19-B1.txt,296
0.210232051,1569.1,16.3358,0,815.1,0.435861111,3600,0.3926875,4,set33-10-23-19-A4.txt,296
0.237605176,237.6,56.547,0,52.5,0.044,5400,0.31415,3,set58-10-31-19-A3.txt,296
0,0,1.2566,0,0,0,1800,0,1,set13-10-17-19-A1.txt,298
0,0,0,0,0,0,5400,0,2,set53-10-30-19-B2.txt,298
0.278110619,2897.2,544.7361,0,1588.9,0.804777778,3600,0.698111111,1,set52-10-29-19-A1.txt,299
0.256194343,2597.2,202.9409,0,813,0.480962963,5400,0.369588235,1,set59-10-31-19-A1.txt,299
0,0,0,0,0,0,3600,0,1,set34-10-23-19-B1.txt,300
0,0,0.6283,0,0,0,5330.2,0,4,set56-10-30-19-B4.txt,300
0.443540492,1796.3,787.8882,0,1796.3,0.997944444,1800,0.571181818,3,set19-10-18-19-A3.txt,302
0.362999386,1986.5,699.9262,105.6,1251.9,0.36787037,5400,0.523583333,2,set58-10-31-19-B2.txt,302
0,0,0.6283,0,0,0,900,0,4,set1-11am-10-15-19-A4.txt,303
