,ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,sex_x,population,site,host_plant,flew,died,flight_type,flight_details,NOTES,mass,short-wing,eggs,time_end,latitude,longitude,pophost,sex_y,beak,thorax,wing,body,w_morph,notes,date_measured,date_entered,recorder,lat,long
259,408,set023-10-21-19-B4.txt,4,B,B-4,23,0.146,731.3,4.398,0,722.1,0.406,1800.0,0.19,D,10.21,10:40,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,,,,,29.661821,-82.347211,K.elegans,M,6.16,3.30,8.42,11.70,L,wings torn at end,03.24.2020,03.26.2020,AB,29.661821,-82.347211
262,54,set024-10-21-19-A1.txt,1,A,A-1,24,0.219,1496.4,5.026,0,1483.0,0.831,1800.0,0.314,B,10.21,11:20,M,Key Largo,JP Grove,C. corindum ,Y,,B,bursts,non-J.haematoloma,,,,,25.12846,-80.40809,C.corindum,M,3.60,2.37,7.13,9.19,L,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
264,76,set024-10-21-19-A2.txt,2,A,A-2,24,0.152,1119.4,3.141,0,1113.3,0.622,1800.0,0.15,B,10.21,11:20,F,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,,,Y,,25.1755048,-80.36782055,C.corindum,F,6.53,3.18,5.89,9.30,S,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
265,189,set024-10-21-19-A3.txt,3,A,A-3,24,0,0,0,0,0,0,1800.0,0,E,10.21,11:20,M,North Key Largo,N. Dagny,C. corindum ,N,,,,,,,,,25.18229498,-80.36369887,C.corindum,M,5.42,2.57,4.51,7.69,S,,03.20.2020,03.25.2020,AB,25.18229498,-80.36369887
266,270,set024-10-21-19-A4.txt,4,A,A-4,24,0,0,0,0,0,0,1800.0,0,C,10.21,11:20,F,North Key Largo,DD,C. corindum ,N,,,,,,,Y,,25.28636983,-80.29077075,C.corindum,F,9.24,3.99,10.05,13.42,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
267,286,set025-10-21-19-A1.txt,1,A,A-1,25,0.219,1724.3,165.243,0,973.0,0.958,1800.0,0.331,Petri2,10.21,12:00,M,North Key Largo,DD,C. corindum ,Y,,C,continuous,,,,,,25.28636983,-80.29077075,C.corindum,M,5.73,2.85,7.25,10.10,L,,03.24.2020,03.26.2020,AB,25.28636983,-80.29077075
269,417,set025-10-21-19-A2.txt,2,A,A-2,25,0.155,715.9,5.655,0,701.3,0.398,1800.0,0.19,D,10.21,12:00,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,,,,,29.661821,-82.347211,K.elegans,M,5.86,3.09,4.89,8.09,S,,03.24.2020,03.26.2020,AB,29.661821,-82.347211
270,154,set025-10-21-19-A4.txt,4,A,A-4,25,0,0,0,0,0,0,1800.0,0,D,10.21,12:00,F,Lake Wales,Polk,K. elegans,N,,,,,,,Y,,27.903346,-81.589461,K.elegans,F,7.72,3.54,10.05,13.24,L,,03.20.2020,03.25.2020,AB,27.903346,-81.589461
273,111,set026-10-21-19-A1.txt,1,A,A-1,26,0.184,538.9,23.247,219.5,221.5,0.299,1800.0,0.331,A,10.21,12:35,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562,K.elegans,M,5.38,3.00,8.22,10.99,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
279,91,set026-10-21-19-A2.txt,2,A,A-2,26,0.286,1648.8,121.262,0,1231.4,0.916,1800.0,0.37,Petri1,10.21,12:35,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,,,,,25.491968,-80.48562,K.elegans,M,5.93,3.21,8.53,11.82,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
283,404,set026-10-21-19-A3.txt,3,A,A-3,26,0.223,1087.1,9.425,0,387.4,0.604,1800.0,0.331,Petri2,10.21,12:35,F,Gainesville,NW 10th Ave & 18th St,K. elegans,Y,,B,bursts,,,,Y,,29.661821,-82.347211,K.elegans,F,7.86,3.59,9.82,13.37,L,,03.24.2020,03.26.2020,AB,29.661821,-82.347211
287,159,set027-10-21-19-A1.txt,1,A,A-1,27,0.171,22.1,5.655,0,22.1,0.012,1800.0,0.19,D,10.21,1:10,M,Lake Wales,Polk,K. elegans,N,,,,,,,,,27.903346,-81.589461,K.elegans,M,5.51,3.18,8.44,11.46,L,,03.20.2020,03.25.2020,AB,27.903346,-81.589461
290,46,set027-10-21-19-A2.txt,2,A,A-2,27,0.256,374.9,3.77,0,350.0,0.208,1800.0,0.165,A,10.21,1:10,F,Key Largo,JP Grove,C. corindum ,N,,,,,,,Y,,25.12846,-80.40809,C.corindum,F,7.93,3.74,9.31,13.21,L,wings torn at end,03.19.2020,03.25.2020,AB,25.12846,-80.40809
291,50,set027-10-21-19-A3.txt,3,A,A-3,27,0.188,0,5.026,0,0,0,1800.0,0.18,B,10.21,1:10,M,Key Largo,JP Grove,C. corindum ,Y,,B,bursts,,,,,,25.12846,-80.40809,C.corindum,M,6.25,3.37,8.67,11.84,L,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
296,84,set027-10-21-19-A4.txt,4,A,A-4,27,0,0,0,0,0,0,1800.0,0,B,10.21,1:10,M,North Key Largo,Dagny 1/2 Loop,C. corindum ,Y,,B,bursts,,,,,,25.173694,-80.371532,C.corindum,M,6.62,2.99,8.62,11.57,L,,03.20.2020,03.25.2020,AB,25.173694,-80.371532
302,183,set027-10-21-19-B4.txt,4,B,B-4,27,0.225,842.1,38.326,78.1,376.5,0.468,1800.0,0.698,Petri1,10.21,1:10,M,North Key Largo,N. Dagny,C. corindum ,Y,,B,bursts,,,,,,25.18229498,-80.36369887,C.corindum,M,6.56,3.06,8.04,10.92,L,,03.20.2020,03.25.2020,AB,25.18229498,-80.36369887
