ID,box,test_date,time,set_number,chamber#,sex,population,flew,died,flight_type,NOTES,filename
370,Petri2,NA,NA,NA,NA,M,Leesburg,NA,Y,,,NA
188,B,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,NA
24,A,NA,NA,NA,NA,M,Plantation Key,NA,Y,,,NA
244,Petri2,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,NA
32,A,NA,NA,NA,NA,F,Plantation Key,NA,Y,,,NA
305,C,NA,NA,NA,NA,F,Lake Placid,NA,Y,,,NA
233,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,NA
344,D,NA,NA,NA,NA,M,Lake Placid,NA,Y,,,NA
7,Petri1,NA,NA,NA,NA,M,Plantation Key,NA,Y,,,NA
341,D,NA,NA,NA,NA,M,Lake Placid,NA,Y,,,NA
289,Petri2,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,NA
294,Petri2,NA,NA,NA,NA,M,Lake Placid,NA,Y,,,NA
268,C,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,NA
137,Petri1,NA,NA,NA,NA,M,Lake Wales,NA,Y,,,NA
281,C,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,NA
63,B,NA,NA,NA,NA,F,Key Largo,NA,Y,,,NA
144,Petri1,NA,NA,NA,NA,F,Lake Wales,NA,Y,,,NA
104,A,NA,NA,NA,NA,F,Homestead,NA,Y,,,NA
266,C,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,NA
378,D,NA,NA,NA,NA,M,Leesburg,NA,Y,,,NA
227,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,NA
40,Petri1,NA,NA,NA,NA,M,Key Largo,NA,Y,,,NA
209,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,NA
207,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,NA
350,D,NA,NA,NA,NA,F,Lake Placid,NA,Y,,,NA
347,D,NA,NA,NA,NA,M,Lake Placid,NA,Y,,,NA
379,D,NA,NA,NA,NA,F,Leesburg,NA,Y,,,NA
277,C,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,NA
371,Petri2,NA,NA,NA,NA,M,Leesburg,NA,Y,,,NA
211,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,NA
178,B,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,NA
106,A,NA,NA,NA,NA,F,Homestead,NA,Y,,,NA
14,A,NA,NA,NA,NA,F,Plantation Key,NA,Y,,,NA
3,Petri1,NA,NA,NA,NA,M,Plantation Key,NA,Y,,,NA
181,Petri1,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,NA
185,B,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,NA
218,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,NA
216,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,NA
385,D,NA,NA,NA,NA,F,Leesburg,NA,Y,,,NA
19,A,NA,NA,NA,NA,F,Plantation Key,NA,Y,,,NA
27,A,NA,NA,NA,NA,M,Plantation Key,NA,Y,,,NA
