ID,died,date_died,sex ,population,site,host_plant,S-wing,,order,treatment
381,,,M,Leesburg,Vet's Park,K. elegans,N,,0.948429182,
202,,,F,Plantation Key,Founder's,C. corindum,N,,0.44399033,
343,,,M,Plantation Key,Founder's,K. elegans,N,,0.117629396,
317,,,F,Plantation Key,Founder's,K. elegans,N,,0.427176056,
78,,,F,Lake Wales,Alley,K. elegans,N,,0.430035851,
138,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.830778996,
237,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.706730787,
356,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.066019783,
327,,,M,Plantation Key,Founder's,K. elegans,N,,0.467635971,
230,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.700680254,
104,,,F,Plantation Key,Founder's,C. corindum,N,,0.930740364,
29,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.726839745,
274,,,M,Lake Wales,Alley,K. elegans,N,,0.771121373,
238,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.829879192,
212,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.06210842,
129,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.145294017,
288,,,M,Leesburg,Vet's Park,K. elegans,N,,0.343858643,
11,,,M,Key Largo,JP Employee,C. corindum,N,,0.518929355,
23,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.478207134,
236,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.777979224,
31,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.779312761,
323,,,M,Plantation Key,Founder's,K. elegans,N,,0.221058498,
117,,,M,Key Largo,JP Grove,C. corindum,N,,0.848418248,
290,,,M,Leesburg,Vet's Park,K. elegans,N,,0.593729111,
225,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.412209134,
328,,,F,Plantation Key,Founder's,K. elegans,N,,0.225757079,
217,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.642882064,
241,,,M,Lake Place,Sheriff's,K. elegans,N,,0.313780381,
300,,,F,Leesburg,Vet's Park,K. elegans,N,,0.763905079,
36,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.140376525,
112,,,M,Key Largo,JP Grove,C. corindum,N,,0.875857742,
303,,,M,Plantation Key,Founder's,K. elegans,N,,0.096589417,
101,,,M,Plantation Key,Founder's,C. corindum,N,,0.631969842,
299,,,F,Leesburg,Vet's Park,K. elegans,N,,0.993559177,
35,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.118825918,
22,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.241592204,
137,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.650795966,
61,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.599338931,
