ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,latitude,longitude,total_eggs,beak,thorax,wing,body,w_morph,morph_notes,tested
267,set001-2-17-2020-B2_267.txt,T1,B-2,B,2,1,0.24163442117726500,41970.11,9822.213900002450,0.0,41970.11,0.8854261183775960,47401.03,0.452014388489213,2020-02-17,8:15:00,19:56:05,42065.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.04,N,27.298631,-81.36615,,5.56,3.1,8.99,12.33,L,,yes
202,set001-2-17-2020-B3_202.txt,T1,B-3,B,3,1,0.2175973144849680,11083.16,2309.0025000000500,0.0,11081.24,0.8706885512746690,12729.19,1.3089583333332800,2020-02-17,8:15:00,11:26:00,11460.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,C,,0.037000000000000000,N,24.9735748,-80.5539224,,5.59,3.13,8.35,11.45,L,,yes
203,set001-2-17-2020-B3_203.txt,T1,B-3,B,3,1,0.23073266766144300,2496.4300000000000,548.5059000000070,0.0,2496.4300000000000,0.6053609837361510,4123.870000000000,1.3658695652145800,2020-02-17,11:40:00,12:27:00,2820.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,BC,DATA COL: blew on it by accident at 12:27; taken down at 12:41,0.044000000000000000,N,24.9735748,-80.5539224,,5.82,3.34,8.52,11.93,L,,yes
223,set001-2-17-2020-B3_223.txt,T1,B-3,B,3,1,0.2121651090803350,4802.8900000000000,2968.7174999999000,73.27000000000040,4226.16,0.3105862344355740,15463.950000000000,1.029999999999020,2020-02-17,12:49:00,17:15:00,15960.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.031,N,25.27348850000000,-80.3040957,,5.72,3.06,7.8,10.72,L,,yes
189,set001-2-17-2020-B4_189.txt,T1,B-4,B,4,1,0.5166719064673090,1103.4000000000000,308.4953000000010,63.5,568.1600000000000,0.4986915786476470,2212.59,0.7059550561802370,2020-02-17,12:50:00,13:22:00,1920.0,F,Leesburg,Lake,Mount & 8th,K.elegans,Y,B,,0.041000000000000000,N,28.7963435,-81.8778849,,6.07,3.45,8.93,12.33,L,,yes
21,set001-2-17-2020-B4_21.txt,T1,B-4,B,4,1,0.27020875496723300,649.6100000000000,8.7962,0.0,616.3800000000000,0.3018872308686100,2151.830000000000,0.4688805970148750,2020-02-17,9:55:00,10:27:00,1920.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,B,,0.034,N,25.27348850000000,-80.3040957,,6.03,2.9,7.68,10.67,L,,yes
23,set001-2-17-2020-B4_23.txt,T1,B-4,B,4,1,0.0,0.0,1.2566,0.0,0.0,0.0,2160.5900000000000,0.0,2020-02-17,12:14:00,12:45:00,1860.0,M,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.034,N,25.27348850000000,-80.3040957,,5.44,2.97,7.66,10.67,L,wings torn at the end,yes
239,set001-2-17-2020-B4_239.txt,T1,B-4,B,4,1,0.0,0.0,0.6283,0.0,0.0,0.0,2218.4700000000000,0.0,2020-02-17,9:15:00,09:50:00,2100.0,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,N,,,0.033,N,25.1755702,-80.36780089,,5.42,2.82,7.6,10.59,L,,yes
252,set001-2-17-2020-B4_252.txt,T1,B-4,B,4,1,0.2943943151381740,40.389999999999900,12.566000000000000,0.0,40.389999999999900,0.02215882594980110,1822.7500000000000,0.3529775280899380,2020-02-17,8:45:00,09:15:00,1800.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,B,,0.038,N,25.491362,-80.485821,,5.81,2.8,7.91,10.81,L,,yes
268,set001-2-17-2020-B4_268.txt,T1,B-4,B,4,1,0.2106012871780960,18370.000000000000,3803.728199999710,0.0,18370.000000000000,0.65045636400912,28241.71,1.1635185185166400,2020-02-17,13:27:00,18:43:18,18978.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.033,N,27.298631,-81.36615,,5.58,2.84,7.8,10.96,L,,yes
